序号,名称,学校类别,电话,地址,高校
36,北京物资学院,12普通高等学校：本科院校：学院,89534628,北京市通州区富河大街1号,高校
198,北京中国驻颜美容学院,51民办的其他高等教育机构,67886394-838,北京市大兴区经济技术开发区（亦庄）广德中巷5号,高校
13,首都师范大学科德学院,22普通高等学校：其他机构：独立学院,89229218,北京市大兴区榆垡镇榆祥路10号,高校
33,北京第二外国语学院中瑞酒店管理学院,22普通高等学校：其他机构：独立学院,89281111,北京市大兴区庞各庄镇工业区田园路11号,高校
107,北京心理学函授学院,51民办的其他高等教育机构,62611127,北京市朝阳区大屯路甲10号,高校
109,北京旅游专修学院,51民办的其他高等教育机构,61202066,北京市大兴区黄村镇后辛庄,高校
125,国家检察官学院,43成人高等学校：管理干部学院,61719025,北京市昌平区百沙路9号,高校
140,北京演艺专修学院,51民办的其他高等教育机构,69730217,北京市昌平区沙河镇定泗路信苑,高校
22,北京政法职业学院,14普通高等学校：专科院校：高等职业学校,65754999,北京市朝阳区管庄南街1号,高校
196,北京应用技术大学,51民办的其他高等教育机构,81700923,北京市昌平区东小口镇霍营,高校
69,中国疾病预防控制中心,10培养研究生的科研机构,58900076,北京市昌平区昌百路155号,高校
199,北京经济技术研修学院,51民办的其他高等教育机构,51294898,北京市朝阳区安外北苑羊坊甲2号,高校
205,北京交通职业技术学院,14普通高等学校：专科院校：高等职业学校,89703146,北京市昌平区昌平镇邓庄村东,高校
223,北京华嘉专修学院,51民办的其他高等教育机构,80728952,北京市怀柔区于家园南街6号,高校
247,北京八维研修学院,51民办的其他高等教育机构,82157104,北京市海淀区上地七街唐家岭路57号,高校
260,北京真空电子技术研究所,10培养研究生的科研机构,64371497,北京市朝阳区酒仙桥13号,高校
261,北京市心肺血管疾病研究所,10培养研究生的科研机构,64443324,北京市朝阳区安贞路2号,高校
282,北京新亚研修学院,51民办的其他高等教育机构,62330891,北京市海淀区双泉堡甲66号,高校
171,中科院动物研究所,10培养研究生的科研机构,64807165,北京市朝阳区北辰西路1-5,高校
228,北京交通运输职业学院,14普通高等学校：专科院校：高等职业学校,69243164,北京市海淀区西三旗,高校
207,北京农学院,12普通高等学校：本科院校：学院,80799002,北京市昌平区回龙观镇农学院社区居委会,高校
101,北京机械工程师进修学院,51民办的其他高等教育机构,68799021,北京市海淀区首都体育馆南路9号主语国际4号楼11层,高校
209,北京吉利大学,14普通高等学校：专科院校：高等职业学校,60752209,北京市昌平区昌平科技园,高校
211,中国音乐学院,12普通高等学校：本科院校：学院,64887437,北京市朝阳区安翔路1号,高校
219,北京科技大学延庆分校,21普通高等学校：其他机构：分校、大专班,69147084,北京市延庆县庆园街69号,高校
204,北京西城红旗业余大学,41成人高等学校：职工高校,63543784,北京市西城区红旗业余大学,高校
227,北京经贸职业学院,14普通高等学校：专科院校：高等职业学校,81355903,北京市房山区良乡镇长虹东路高教园区,高校
208,北京科技职业学院,14普通高等学校：专科院校：高等职业学校,58912772,北京市昌平区沙河沙阳路18号,高校
230,现代管理大学,51民办的其他高等教育机构,80305108,北京市房山区良乡卫星城月华大街,高校
235,北京国际经贸研修学院,51民办的其他高等教育机构,84923756,北京市朝阳区水岸南街1号院,高校
244,北京涉外经济专修学院,51民办的其他高等教育机构,80108445,北京市昌平区石牌坊南,高校
255,北京体育大学,11普通高等学校：本科院校：大学,62989243,北京市海淀区信息路48号,高校
267,北京卓达经济管理研修学院,51民办的其他高等教育机构,89793074,北京市昌平区马池口镇土楼村西,高校
279,北京市丰台区职工大学,41成人高等学校：职工高校,63851839,北京市丰台区望园东里23号,高校
280,北京明园大学,51民办的其他高等教育机构,82903383,北京市海淀区西三旗东侧,高校
226,北京农业职业学院,14普通高等学校：专科院校：高等职业学校,80358899-630,北京市房山区长阳镇稻田南里5号,高校
120,北京市石景山区业余大学,41成人高等学校：职工高校,68825782,北京市石景山区八角北路51号,高校
126,北京市朝阳区职工大学,41成人高等学校：职工高校,64211719,北京市朝阳区和平里南口砖角楼北里5号,高校
210,中国政法大学,11普通高等学校：本科院校：大学,58909318,北京市昌平区府学路27号,高校
122,首都联合职工大学,41成人高等学校：职工高校,84631746,北京市朝阳区水岸南街1号院,高校
203,北京美国英语语言学院,51民办的其他高等教育机构,81489300,北京市顺义区京顺路99号,高校
131,北京建设大学,51民办的其他高等教育机构,62734834,北京市海淀区天秀路10号,高校
132,北京市西城经济科学大学,41成人高等学校：职工高校,66560169,北京市西城区西直门内南草街22号,高校
124,中国信息大学,51民办的其他高等教育机构,81303025,北京市房山区窦店镇下坡店村,高校
138,北京高等秘书研修学院,51民办的其他高等教育机构,89218981,北京市大兴区榆垡镇榆祥路9号,高校
129,华北电力大学,11普通高等学校：本科院校：大学,61772322,北京市西城区德胜门外朱辛庄,高校
112,北京金融学院,51民办的其他高等教育机构,82927970,北京市海淀区西三旗新都环岛南侧建材城中路29号,高校
